0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,season
rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,adjt,2026
20,Arkansas,SEC,22-8,128.33270564327626,6,102.05060660098042,52,0.9330997368067357,20,22.566481965563916,8.433518034436084,12.566481965563916,5.433518034436083,12-5,0.7284839060457117,0.5791493198638732,0.8426809425377053,0.7336241533635082,0.5791493198638732,0.8451893108910219,0.6226694720513528,0.6942897644121726,118.28115675873185,104.63256467184706,118.39428099223807,104.53914913822398,129.02869749594345,102.54229828539175,127.87098262906247,101.85947548800038,0.9318472759675938,16.0,0.03786090031243927,1532.0,1422.0,1251.0999999999997,1.2245224202701626,1.1365997921828794,0.8878315728974029,0.7058823529411765,5.200334996681696,18,89,71.09242277774057,2026
21,St. John's,BE,24-6,118.58341588743798,53,95.16165216660522,13,0.9262494662452674,21,24.636483876040614,6.363516123959384,17.636483876040614,2.3635161239593843,17-2,0.7137210176686924,0.6142923757493994,0.7712849682535461,0.7178509680538943,0.6142923757493994,0.7748081938213662,0.7006666503750706,0.748450525629294,115.13209903037733,104.43148297890383,114.95087327153188,104.11759047237535,118.63097237564013,94.6959661152468,122.67611704839743,98.77952709460814,0.9235479646269379,9.0,0.04180007771119054,1515.0,1328.0,1337.5,1.1327102803738318,0.9928971962616823,0.841749479609948,0.8947368421052632,5.068170023606631,20,81,69.81080228669097,2026
22,Wisconsin,B10,21-9,125.47340812264105,12,101.83237304196453,48,0.9168887879021683,22,21.215950167543404,9.784049832456594,13.215950167543406,6.784049832456594,13-6,0.7032458567246074,0.49502702433293505,0.8237936017934707,0.7117678884359598,0.49502702433293505,0.8309753636926237,0.6475732383377384,0.8351628185110406,115.7438557614932,104.06733744130939,116.28202075818189,103.8912002177297,127.9103369459444,102.02313637677653,125.91725735801947,102.80067184355117,0.9115396629391974,14.0,0.005611352106274503,1544.0,1462.0,1301.75,1.186095640483964,1.123103514499712,0.9674288397765309,0.6842105263157895,3.169359581273058,27,165,68.8855298530175,2026
23,Saint Mary's,WCC,27-4,119.43518549697663,46,97.69401611178952,23,0.9097622657309525,23,27.0,4.0,16.0,2.0,16-2,0.5887600041739954,0.557677195581783,0.6112086992683713,0.5887600041739954,0.557677195581783,0.6112086992683713,0.7906510942323494,0.8198836188771879,111.43002660529338,105.90168568783679,111.43002660529338,105.90168568783679,120.97734806061025,98.37042770690573,112.5118477695285,95.10778047532483,0.8735313008189408,5.0,0.06614043220441468,1403.0,1154.0,1178.2625,1.190736359682159,0.9794082388262377,0.0,0.8888888888888888,4.310150061616824,21,44,65.22839086515684,2026
24,North Carolina,ACC,24-6,122.30777867919589,30,100.18674677427153,34,0.9084042333268986,24,24.087105894883724,6.912894105116276,12.087105894883724,5.912894105116276,12-5,0.6874060413447859,0.536696700502948,0.8026543608120735,0.6970765513774957,0.536696700502948,0.81290644367578,0.6685198910507885,0.78419376537085,114.70678304961486,104.59120796979484,115.20687148300716,104.09603161136172,123.85833733544833,102.84480945957854,121.61636954880274,103.37195324502636,0.8663640432947357,13.0,0.09691885069427919,1355.0,1300.0,1166.9875,1.1611092663803169,1.1139793699589755,0.9871918523587913,0.7058823529411765,5.393912273863353,17,15,67.71542552345667,2026
25,Iowa,B10,20-9,122.37766062759877,29,100.44969371283011,37,0.9064237416217138,25,20.504559569465062,10.495440430534936,10.504559569465064,9.495440430534936,10-8,0.6596714618975944,0.408809246812042,0.8129761488943211,0.6793139100825594,0.408809246812042,0.828091474881344,0.6507967356332119,0.8494097720080709,114.48287559000089,105.52165773080061,115.0680585131299,104.66291177133247,120.93742003276225,101.33956477465583,120.75507592816139,98.1243721689746,0.9157980916510736,12.0,-0.0002867990020294364,1274.0,1240.0,1124.0874999999999,1.1333637283574456,1.1031169726555985,0.9641294087645507,0.5555555555555556,2.159012924531916,34,181,62.87454176987755,2026
26,Ohio St.,B10,19-11,124.47445389505151,18,102.32961544453399,58,0.9048974508162241,26,19.659474181402583,11.340525818597417,11.659474181402583,8.340525818597417,11-8,0.7064534954231311,0.4914952572382711,0.8309030017406817,0.7116924673644638,0.4914952572382711,0.8328009329338698,0.6438301042917217,0.8192073846641189,115.89936597375974,103.65843492450472,116.08078622687887,103.64034981638618,126.65926964353079,102.99046488402819,124.465120895066,101.89468856831135,0.9089586368163112,14.0,-0.019222043778808873,1468.0,1421.0,1250.925,1.1735315866258968,1.135959390051362,0.868861625604445,0.5789473684210527,1.7655344989504094,38,224,66.15714301821947,2026
27,Cincinnati,B12,17-13,113.52282052815761,99,93.75413232795279,7,0.9002740749363454,27,17.5155600765452,13.484439923454802,9.515560076545198,8.484439923454802,9-8,0.6754857130534886,0.47106536974713803,0.8318071520524626,0.68152907586242,0.47106536974713803,0.8335306413901236,0.6665539954382104,0.8241319321592303,114.51839577275544,103.98962843479012,114.533887455831,103.79654132972568,117.89433831579237,93.80559990883596,114.31482722691254,96.66579784758021,0.873084555728719,13.0,-0.1053585142904453,1227.0,1174.0,1132.6249999999998,1.083324136408785,1.0365301843063681,0.8628299601303604,0.5294117647058824,-1.264076564218652,66,359,67.74332342371429,2026
28,Indiana,B10,18-12,123.12400589729562,24,101.7747251458059,47,0.8993431689184409,28,18.340525818597417,12.659474181402583,9.340525818597417,10.659474181402583,9-10,0.6877331486000305,0.4389181799573035,0.831783919919504,0.6954740113526702,0.4389181799573035,0.8365797186201217,0.6445629191534686,0.8375674977766742,115.64652518150268,104.21579617049922,115.98349604001612,104.11203921157765,124.5894605325987,103.80213952105623,116.81134791594484,104.21639246418933,0.7878550008346783,14.0,-0.05354803051908141,1438.0,1430.0,1250.2875,1.1501354688421663,1.1437369405036841,0.9276998939318599,0.47368421052631576,0.26751150722757083,48,309,66.05278667079656,2026
29,Clemson,ACC,21-9,115.66434404043753,77,95.81330049836436,15,0.8970940592438678,29,21.942902111155846,9.057097888844153,11.942902111155847,6.057097888844154,11-6,0.6685987348405261,0.520061479838958,0.7821860474887843,0.6604455501563883,0.520061479838958,0.7618340453856436,0.7069053964670904,0.768076212465429,114.35098537636726,105.78719162710983,114.0490375506399,105.86307078572858,114.86300059015659,94.69527161029274,117.65089878253316,95.00695521858181,0.9211716731780234,12.0,0.006124011813366637,1194.0,1123.0,1103.3749999999998,1.082134360484876,1.0177863373739664,0.41585000963225266,0.6470588235294118,2.141276484334185,35,162,64.2546209087128,2026
30,UCLA,B10,20-10,123.07920547756211,25,102.17578098473275,54,0.8947809294529124,30,20.54930813928048,10.450691860719518,12.549308139280482,7.450691860719518,12-7,0.6953059003072187,0.4877693616565358,0.8154586332102458,0.6999098993837216,0.4877693616565358,0.8165871951336738,0.6502106032725384,0.8006844400574302,115.78103173766881,103.95796227282183,115.74749374094941,103.8128653336639,123.77877006475217,102.68674497989309,123.87034757709965,105.49884863760018,0.8636752641572085,13.0,0.021971581480301206,1422.0,1377.0,1232.7875000000001,1.1534834673453453,1.116980825973657,0.8380298716788053,0.631578947368421,2.3219481554010524,33,120,64.57106419890668,2026
31,Santa Clara,WCC,24-7,123.4260633079898,22,102.83182447943155,64,0.8908346667914889,31,24.0,7.0,15.0,3.0,15-3,0.5867105075437392,0.5459376773811769,0.6161575515500343,0.5867105075437392,0.5459376773811769,0.6161575515500343,0.785474416804117,0.8096687582107004,111.5210962468518,106.09508003054547,111.5210962468518,106.09508003054547,125.67900019165688,103.1716675731256,117.44260198004038,102.92579533269334,0.8201444409824536,6.0,0.0017318637199731368,1569.0,1330.0,1280.9500000000003,1.224872165189898,1.03829189273586,0.0,0.8333333333333334,1.4994519875318808,40,172,69.91400448859362,2026
32,Texas A&M,SEC,20-10,121.55613782417592,35,101.31485995639095,44,0.8903816771107823,32,20.577506209480894,10.422493790519104,10.577506209480896,7.422493790519104,10-7,0.6558984103518396,0.4143045478741473,0.8406466581288985,0.6610319457527394,0.4143045478741473,0.8392239553317227,0.6837004961164437,0.8671468754016066,115.80361565176496,107.1099022771319,115.94792731641158,107.0652091764877,121.92865190126973,100.32237374418685,119.54913145402132,98.82787959763705,0.8992571985415326,12.0,-0.0045074200173969015,1399.0,1369.0,1215.8125,1.1506708476841618,1.1259959903356809,0.8150380077797338,0.5882352941176471,1.3308304397166941,41,192,71.09781398273195,2026
33,Kentucky,SEC,19-11,120.52253452993963,40,100.52065607898217,38,0.8896278411576445,33,19.269658915174052,11.730341084825948,10.269658915174052,7.730341084825948,10-7,0.7155579448875374,0.5279041422671216,0.8590579115972672,0.7236737295636151,0.5279041422671216,0.865062875944416,0.5995247344556885,0.7267027675542147,117.68400611963243,104.95599675263135,117.91536709118273,104.5716659098628,121.01539254274897,101.105871646945,119.54489892434762,101.80848930383455,0.8637607290187004,17.0,0.04121330826041336,1337.0,1320.0,1174.2875,1.1385627454946086,1.124085881864535,0.9671472698459446,0.5882352941176471,2.739231402300384,31,83,67.98589672588894,2026
