player_name,team,conf,gp,min_per,ortg,usg,efg,ts_per,orb_per,drb_per,ast_per,to_per,ftm,fta,ft_per,two_pm,two_pa,two_p_per,tpm,tpa,tp_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,rec_rank,ast_tov,rim_made,rim_att,mid_made,mid_att,rim_pct,mid_pct,dunks_made,dunks_att,dunk_pct,pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,role,three_p_per_100,season
Liam McChesney,Creighton,BE,4,0.7,44.3,36.1,25.0,25.0,13.8,12.9,0.0,38.2,0,0,0.0,1,2,0.5,0,2,0.0,11.1,6.9,0.0,Jr,6-10,13,-0.339143,46.2651,4.7,2026,71840,"Prince Rupert, Canada",65.6,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,,92.2076,88.9616,0.334008,2.59292,-14.0182,-18.4213,4.40308,-19.7247,2.125,-18.3637,-1.36101,0.25,0.25,0.5,0.0,0.25,0.25,0.5,PF/C,13.4457,2026
Tariq Ingraham,Memphis,Amer,24,19.6,106.7,17.9,51.0,56.38,9.0,11.0,3.2,17.9,28,42,0.667,26,49,0.531,0,2,0.0,2.6,1.7,82.4,Sr,6-9,19,0.489495,107.172,6.0,2026,71940,"Philadelphia, PA",8.8,0.30773492,22.0,39.0,4.0,10.0,0.5641,0.4,6.0,7.0,0.8571,,107.955,104.279,0.984018,37.5021,-2.09349,-2.24577,0.152275,-1.24936,9.5083,-2.31022,1.06085,0.7917,0.9583,1.75,0.1667,0.2917,0.2083,3.3333,C,0.490638,2026
Josh Ogundele,Hampton,CAA,25,37.7,109.5,20.9,57.8,59.46,9.9,12.1,9.0,18.4,46,75,0.613,57,101,0.564,4,8,0.5,3.1,1.7,68.8,Sr,7-0,23,1.01681,109.029,4.7,2026,72241,"London, United Kingdom",17.8,0.56664934,52.0,84.0,5.0,17.0,0.619,0.2941,2.0,3.0,0.6667,,108.742,112.753,1.30392,70.5903,-0.803347,-1.06122,0.257877,-1.19567,17.4385,-0.732843,-0.46283,1.6538,1.8077,3.4615,0.6538,0.5,0.5385,6.7692,PF/C,1.09699,2026
Jahari Long,George Mason,A10,29,83.5,113.1,18.6,51.5,56.32,1.7,10.2,22.6,17.3,68,84,0.81,64,129,0.496,39,109,0.358,0.4,1.1,35.3,Sr,6-5,2,2.19959,111.241,2.3,2026,72254,"Houston, TX",52.4,2.18865674,47.0,76.0,17.0,53.0,0.6184,0.3208,0.0,0.0,,,108.695,108.192,3.02043,142.417,0.8184,1.21739,-0.398992,0.857996,33.3667,0.610426,0.24757,0.4333,3.0,3.4333,3.8667,0.6333,0.1333,11.2667,Combo G,6.88808,2026
Javon Cooley,Pepperdine,WCC,29,74.6,104.2,19.0,48.1,53.88,2.9,14.8,7.5,14.3,77,91,0.846,71,137,0.518,37,126,0.294,1.0,2.0,34.6,Sr,6-5,23,1.37383,105.534,2.6,2026,72291,"Chicago, IL",,0.77776246,51.0,80.0,20.0,57.0,0.6375,0.3509,6.0,6.0,1.0,,113.488,111.715,2.33288,151.678,-1.55246,-0.618744,-0.93372,-1.15559,29.9452,-0.670192,-0.485399,0.7419,3.7742,4.5161,1.129,1.0323,0.2903,11.3226,Wing G,8.34287,2026
Toneari Lane,San Diego,WCC,29,64.9,118.9,16.8,58.2,59.95,2.2,6.9,5.9,7.7,27,32,0.844,39,85,0.459,71,165,0.43,0.6,1.3,12.8,Sr,6-5,1,2.12578,115.859,1.8,2026,72294,"Atlanta, GA",39.4,1.19993801,21.0,41.0,18.0,44.0,0.5122,0.4091,0.0,0.0,,,119.482,118.453,1.4236,95.6873,-0.788262,2.04666,-2.83492,0.877155,25.9161,3.15217,-2.27501,0.5161,1.4194,1.9355,0.7742,0.6452,0.129,11.2903,Wing G,12.559,2026
Trae Broadnax,Rice,Amer,28,77.0,108.2,27.2,48.6,53.65,3.4,16.0,23.4,17.2,101,128,0.789,116,238,0.487,37,115,0.322,1.1,2.4,36.3,Sr,6-4,12,2.77142,118.19,3.7,2026,72299,"Savannah, GA",,1.35209369,48.0,83.0,68.0,155.0,0.5783,0.4387,0.0,0.0,,,111.683,111.586,2.42311,153.017,1.60784,2.05351,-0.445666,2.35122,30.58,2.38588,-0.0346584,1.0,4.2333,5.2333,3.2,1.2333,0.3,15.7,Combo G,7.80488,2026
Jeremiah Williams,Georgetown,BE,30,47.2,97.6,19.2,43.2,46.72,3.2,8.5,27.1,21.1,32,50,0.64,44,115,0.383,11,25,0.44,2.4,2.5,35.7,Sr,6-4,25,0.570386,100.972,3.7,2026,72301,"Chicago, IL",1.4,2.12823087,25.0,61.0,19.0,54.0,0.4098,0.3519,1.0,2.0,0.5,,109.516,105.953,1.85286,93.809,-0.283355,-1.40124,1.11788,-0.101566,19.1,-1.33749,1.23592,0.5333,1.4333,1.9667,2.7667,0.8,0.4,5.1,Scoring PG,2.59138,2026
Keishon Porter,Evansville,MVC,14,27.5,83.9,22.8,38.5,43.38,3.7,10.8,12.7,17.0,25,37,0.676,31,70,0.443,5,30,0.167,1.1,1.5,37.0,Sr,6-5,1,-0.298275,88.5142,4.2,2026,72323,"Pinetops, NC",,0.86956522,19.0,34.0,12.0,36.0,0.5588,0.3333,5.0,7.0,0.7143,,117.6,115.312,1.50931,48.5414,-7.27185,-4.62738,-2.64447,-6.21045,22.0313,-4.65666,-1.55379,0.8125,2.0625,2.875,1.25,0.5,0.1875,6.875,Wing G,5.52449,2026
Alec Oglesby,Middle Tennessee,CUSA,26,60.0,116.0,15.3,56.7,58.21,2.2,7.1,6.3,11.0,25,36,0.694,16,39,0.41,54,132,0.409,0.3,1.9,21.1,Sr,6-5,0,1.44672,109.611,2.6,2026,72343,"Gainesville, FL",,1.31579719,11.0,23.0,5.0,16.0,0.4783,0.3125,0.0,0.0,,,113.59,111.957,1.85863,89.4145,0.545567,1.64509,-1.09953,0.0416067,24.5464,0.466361,-0.424754,0.5,1.5,2.0,0.8929,0.8214,0.0714,8.6429,Combo G,12.3723,2026
Tegra Izay,Southern Miss,SB,29,24.8,115.5,12.8,56.4,60.1,8.9,20.7,3.1,15.4,28,44,0.636,22,39,0.564,0,0,0.0,9.7,0.8,112.8,Sr,7-0,22,0.358461,102.653,5.2,2026,72357,"Montreal, Canada",20.8,0.42847654,18.0,27.0,4.0,12.0,0.6667,0.3333,6.0,8.0,0.75,,103.389,105.572,0.98928,59.3018,-0.318345,-3.48731,3.16897,-0.161158,10.629,-1.96622,1.80506,0.9677,1.9355,2.9032,0.1935,0.1613,0.871,2.7742,C,0.0,2026
Latrell Wrightsell Jr.,Alabama,SEC,22,49.2,121.1,20.0,54.0,56.7,1.4,8.7,13.5,8.1,39,48,0.813,32,67,0.478,65,173,0.376,0.2,2.2,20.0,Sr,6-3,3,3.45696,129.457,2.9,2026,72358,"Omaha, NE",,2.61109754,17.0,34.0,15.0,33.0,0.5,0.4545,0.0,0.0,,,113.608,102.966,2.90813,96.3822,5.83234,5.71745,0.114883,6.03295,27.0864,4.61032,1.42263,0.3636,2.5,2.8636,2.1364,1.0909,0.0455,13.5455,Combo G,15.5601,2026
Isaiah Cottrell,Southern Utah,WAC,26,66.5,98.6,19.5,43.1,48.22,6.5,18.9,10.2,15.3,56,77,0.727,76,160,0.475,8,44,0.182,4.7,1.3,37.7,Sr,6-11,0,0.695951,99.7965,2.3,2026,72399,"Las Vegas, NV",85.2,1.07898955,64.0,112.0,12.0,48.0,0.5714,0.25,20.0,27.0,0.7407,,111.156,112.302,2.02709,134.636,-0.887473,-1.8234,0.935932,-1.05024,25.6276,-1.11043,0.0601935,1.5517,4.5172,6.069,1.4138,0.5862,1.4138,8.9655,PF/C,3.55925,2026
Nijel Pack,Oklahoma,SEC,30,74.0,123.6,23.1,60.7,62.13,2.1,9.9,20.0,14.9,33,38,0.868,73,147,0.497,99,218,0.454,1.1,1.3,10.4,Sr,5-10,9,4.10857,132.282,2.8,2026,72421,"Indianapolis, IN",78.4,1.7169298,19.0,33.0,54.0,114.0,0.5758,0.4737,0.0,1.0,0.0,,115.75,109.339,2.55812,127.178,4.82918,5.78978,-0.960606,6.82293,29.7067,6.97684,-0.153908,0.5333,2.6333,3.1667,3.0333,0.6667,0.3,15.8667,Combo G,14.1985,2026
